																																																					
	April 2021			May 2021			June 2021			July 2021			August 2021			September 2021			October 2021			November 2021			December 2021			January 2022			February 2022			March 2022			April 2022			May 2022			June 2022			July 2022			August 2022			September 2022	
	sit up	25x5					rope push down	12x22.5 x4					cable curl	12x17.5 x5		adductor	16x45 + 12x50 x3		chin up	12 x4		squat	5x60 x4		low row	12x90 x4		squat	10x60 x2 + 6x60 + 10x50		barbell row	10x60 x2 + 7x70 + 12x60 x2		sit up	25x26 + 20x30 x2		bench press	7x70 x3		deadlift	8x80 + 8x90 + 5x100 + 8x80								barbell row	16x50 + 14x60 + 12x60 x2		low row	20x90 + 14x100 + 10x120 x2
	lateral raise	10x5 x6		04/05/2021	push		skull crusher	12x20 x4		06/07/2021	pull		leg press	16x100 x4		leg extension	12x70 x4		calf raise	12 x4		skull crusher	12x30 x4		bicep curl	10x14 x4		forearm	20x8 x4		low row	12x60 x3		russian twist	20x10 x3		skull crusher	16x30 x3		preacher curl	12x40 + 12x35 x2								preacher curl	10x40 + 8x40 x2		preacher curl	10x40 + 16x35 + 12x35
				bench press	10x40 + 8x40 + 1x50 + 1x60		russian twist	40x8		low row	6x92.5 x4		abdominal crunch	12x35 x4		abductor	12x45 + 12x50 x3					cable push down	12x25 x4		preacher curl	12x30 x4		abdominal crunch	12x35 x2 + 16x30 x2		preacher curl	12x30 x2 + 8x30 + 6x30		forearm	16x16 x3		chest fly	12x10		low row	16x80 + 16x90 x2								pull up	12x10 x2 + 6x10		pull up	10x10 + 8x10 x2
	26/04/2021	shoulder push		shoulder press	10x30 x3		sit up	35x8		close grip pull down	6x65 x4		lateral raise	16x8 x3 + 12x8		leg press	12x90 + 12x110 x3		06/10/2021	leg		sit up	20x12		leg extension	12x65 x4		leg press	16x90 x2		chin up	12 x2 + 10		abdominal crunch	25x32.5 + 20x35 + 15x35					chin up	10x10 + 12x10 + 10x10								cable curl	14x20 + 12x20 x2 + 16x20		bicep curl	10x12 x2 + 12x10
	chest press	15x40 + 10x45 + 10x40 x3		chest press	10x45 x4		shoulder press	12x40 x3		preacher curl	6x35 x4		hanging leg raise	20 x4		calf raise	12 x4		leg extension	12x65 x4		russian twist	40x12		calf raise	16x180 x2 + 16x200 x2		calf raise	16x140					hanging leg raise	16 x2					reverse fly	14x15								bicep curl	8x10 x3		reverse fly	12x20 x2 + 10x20
	cable push down	10x17.5 x6		rope push down	10x17.5 x2 + 10x12.5 x2		bench press	5x50 x4		sit up	35x8								leg press	12x100 + 12x120 x3		possum	12 x4		chin up	12 x4																							reverse fly	16x15 + 14x15 + 12x15			
	lateral raise	10x8 +10x6 x3		abdominal crunch	10x30 x3					russian twist	40x8		20/08/2021	leg		24/09/2021	push		calf raise	12 x8		abductor	16x60 x4																														
	bench press	8x40 + 6x40		shrug	20x16 x2		05/06/2021	mix					chest press	12x65 x3		bench press	5x40 + 3x60 + 1x70 + 1x75 + 5x60		adductor	12x50 + 12x60 x3																																	
	shoulder press	10x40 + 10x30 + 10x20					cable curl	6x30 x4		07/07/2021	push		leg extension	12x65 x7		chest press	12x70 + 7x70 + 10x60 x2		abductor	12x60 x4		06/11/2021	pull		05/12/2021	push		05/01/2022	push		05/02/2022	squat other		05/03/2022	leg		05/04/2022	pull		05/05/2022	core + forearm		05/06/2022	cardio		05/07/2022	holdiay		05/08/2022	core + forearm		05/09/2022	cardio
	adductor	10x55 x5		05/05/2021	mix		low row	6x90 x4		chest press	6x85 x4		abductor	12x50 x3		skull crusher	12x25 x3					low row	12x80 x4		bench press	5x70 + 3x80 + 5x70 x2		bench press	10x70 + 8x70 + 6x70		squat	5x70 x5		squat	6x80 + 6x90 + 6x100 x2		low row	20x90 + 14x100 x2		sit up	20x28 x3								hanging leg raise	20 + 16 x2			
	leg extension	10x50 + 10x45 x3		low row	10x65 x3		preacher curl	6x30 x4		bench press	5x60 x4		adductor	12x50 x5					07/10/2021	mix		preacher curl	12x30 + 12x35 x3		skull crusher	12x30 x4		skull crusher	16x25 x3		sit up	20x10 x5		leg press	16x220 + 12x220 x2		preacher curl	20x35 + 16x35 x2		russian twist	20x10 x3								sit up	20x26 + 16x26 x2			
	shrug	16x18 x3		russian twist	35x6		russian twist	50x8		russian twist	50x8					25/09/2021	pull		cable push down	12x20 x4		cable curl	12x25 x4		rope push down	12x25 + 12x20 x3		pectoral	16x10 x2 + 16x15 x2		russian twist	20x10 + 12x10 x4		calf raise	25x150 + 18x150		pull up	12x10 + 8x10		forearm	20x16 x3								russian twist	16x10 x3			
				sit up	30x6		sit up	40x8		sit up	35x8		21/08/2021	leg		low row	12x65 + 12x67.5 x3		leg press	12x120 + 5x150 + 5x160 + 5x170		adductor	16x60 x3		leg press	12x160 x4		rope push down	12x25 x4		leg extension	16x45 + 16x50 x3		leg curl	16x35		reverse fly	10x30 + 9x30 + 8x30		hanging leg raise	20 x3								abdominal crunch	16x27.5 + 20x27.5			
	27/04/2021	mix		lateral raise	10x6 x4		lateral raise	10x10		shoulder press	6x45 x3		squat	4x70 x4 + 12x60 x4		preacher curl	12x25 x4		abdominal crunch	12x35 + 12x40		deadlift	5x70 + 5x80 x4								calf raise	20x120 x4		leg extension	25x40 + 15x50 x2					abdominal crunch	12x40 + 14x40 x2								forearm	20x12 x3			
	low row	10x60 x5		shrug	16x24 x3								leg press	12x100 + 12x110 x3		cable curl	12x25 + 12x20 x3		bench press	5x60 + 1x75		chin up	12 x3								hanging leg raise	12 + 16 + 12																					
	lateral raise	10x6 x3		cable curl	10x17.5 x3		06/06/2021	push		08/07/2021	pull		leg extension	12x70 + 12x75 x3		calf raise	12 x8																																				
	sit up	25x6		close grip pull down	10x40 x5		chest press	6x72.5 x4		low row	12x85 x3		adductor	12x55 x4					08/10/2021	pull		07/11/2021	push																														
	russian twist	30x6		abductor	20x55 x2		rope push down	6x32.5 + 6x35 x3		russian twist	50x8		abductor	12x55 x4		27/09/2021	push		abdominal crunch	12x40 x4		skull crusher	12x30 x4		06/12/2021	pull		06/01/2022	pull		06/02/2022	arm push		06/03/2022	shoulder push		06/04/2022	core + forearm		06/05/2022	leg		06/06/2022	cardio		06/07/2022	holiday push		06/08/2022	cardio		06/09/2022	shoulder push
	cable curl	10x17.5 x4		cable curl	10x17.5 x7		shoulder press	6x50 x4		sit up	40x8		bulgarian squat	6x12 x3 + 9x12 x2		chest press	12x70 x3		low row	12x80 x4		bench press	3x75 + 4x75 + 3x75		low row	12x80 + 12x90 x3		low row	20x60 x2 + 16x60 x2		bench press	10x60 + 10x65 + 8x65 x2 + 6x65		bench press	5x70 x4		sit up	16x30 x3		squat	6x90 + 6x95 + 6x100											bench press	9x80 + 1x90 + 6x80 x2 + 8x70
	preacher curl	10x20 x3					sit up	35x8		cable curl	12x25 x4					skull crusher	12x25 x4		preacher curl	12x25 x4		overhead press	5x40 x2 + 5x30		preacher curl	12x30 x4		bicep curl	12x10 x4		skull crusher	16x25 x3 + 12x25		dip	12x10 x2		russian twist	20x10 x3		leg press	12x220 + 12x260 x2											shoulder press	10x80 x4
	shrug	16x20 x3		06/05/2021	push		russian twist	45x8		preacher curl	12x25 x2		22/08/2021	core		bench press	5x40 + 5x60 + 5x55 x3		cable curl	12x20 x4		shrug	16x32 x3		chin up	12 x4		pull up	12 x2 + 10		dip	12 x5		lateral raise	16x14 + 14x14 + 11x14		forearm	20x16 x3		leg curl	16x55 + 14x55 x2											chest fly	12x14 x3
	leg extension	10x40 x5		chest press	10x35 + 10x40 x5		lateral raise	12x10 x4					abdominal crunch	12x35 x6		cable push down	12x20 + 12x22.5 x3		calf raise	16x100 x6		rope push down	12x25 x3		cable curl	12x30 x4		preacher curl	5x30 + 16x20 x3		rope push down	12x25 + 12x20 x3		shoulder press	18x60 + 12x70 x2					calf raise	20x150 + 20x170 x2											lateral raise	14x10 x4
